COD_ITEM;ITEM;TIPO_ITEM;UNIDAD_MEDIDA;ProductID
310103653 MTZ;CP - SC PGR 2022 MDAY ULTRA PREMIUM FINEWRAP SHEET PINK 20X28 (X-3) 1000/CASE;ZF;U;11770
310103653 SRM;CP - SC PGR 2022 MDAY ULTRA PREMIUM FINEWRAP SHEET PINK 20X28 (X-3) 1000/CASE;ZF;U;11771
310103654 NZDO;FTD KFC 2022 MDAY TRUMPET COMBO CARD MULTICOLOR 17.78X12.7CM BOPP/WHITE 6000/CS;LD;U;11772
310103655 MTZ;SL - TJ ELT 2022 MDAY DOZEN ROSES SLEEVE WHITE TR/ST 4.66X15.94X17 BOPP N/H U;ZF;U;11773
310103656 MTZ;SL - TJ ELT 2022 MDAY DOZEN ROSES SLEEVE COLOR T 4.66X15.94X17 BOPP N/H 1000/CAS;ZF;U;11774
310103657 SRM;SL - TJ ELT 2022 MDAY DOZEN ROSES SLEEVE WHITE TR/ST 4.66X15.94X17 BOPP N/H U;ZF;U;11775
310103658 SRM;SL - TJ ELT 2022 MDAY DOZEN ROSES SLEEVE COLOR TR/ST 4.66X15.94X17 BOPP N/H U;ZF;U;11776
310103659 MTZ;CP - FLIP 2022 SOLID FINEWRAP SHEET MEDIUM PINK 20X28 SATIN (X-3) 1000/CASE;ZF;U;11777
310103662 MTZ;SL - WM 2022 GRADUATION SLEEVE GOLD Y/DT 17 BOPP N/H 1000/CASE;ZF;U;11778
310103662 SRM;SL - WM 2022 GRADUATION SLEEVE GOLD Y/DT 17 BOPP N/H 1000/CASE;ZF;U;11779
3102;CEREZAS MARRASCHINO X 125 GMS;ZF;U;11780
3102-;BASCULA-COMPOST;LD;BTS;11781
310221093 MTZ;SL-BOY CRUSH HOT PINK / RED TR/ST 3.5X16X14 PACKED 1000/CASE - DECOWRAPS;ZF;U;11782
310221241 MTZ;SL-CLEAR MF TR/ST 10CMX45CMX35CM BOPP 1.5MIL PACKED 2000/CASE - DECOW;ZF;U;11783
310221242 MTZ;SL-CLEAR MF TR/ST 13CMX45CMX45CM BOPP 1.5MIL PACKED 2000/CASE - DECOW;ZF;U;11784
310221295 MTZ;SL-NEW PUBLIX DESIGNER DAISIES NEW UPC TR/ST 3.8X16X17.7 1.5 MIL P;ZF;U;11785
310230035 MTZ;CP-LOVE NOTE ORGANZA HOT PINK WITH HOT PINK GLITTER 2028 PACKED 1000/;ZF;U;11786
3104;CEREZA MARRASCHINO X 250 GMS;ZF;U;11787
3105;CEREZAS MARRASCHINO X 500 GMS;ZF;U;11788
310551;0310551 - TERMINAL COBRE ENCHUFE CON PIN (094);NE;U;11789
310552;0310552 - TERMINAL COBRE ENCHUFE SIN PIN (94);NE;U;11790
3106;MONITOR;LD;BTS;11791
3108;CEREZAS MARRASCHINO X 1000 GMS;ZF;U;11792
310NZDO;310NZDO TOTAL MAYORISTA SAS COMPUTADOR DE ESCRITORIO CON KIT MOUSE Y TECLADO;LD;BTS;11793
31107041;IMPORTACION. LOGISTICA Y SERVICIOS - CONCENTRDO LIQUIDO PARA PREPARAR BEBIDA;E;BTS;11794
31110037;TAPAS Y CABEZOTES PARA FILTROS Y BOTELLAS;E;BTS;11795
31112434;VINOS MARRENON -GRAINS;E;BTS;11796
31113318;MARCOS Y BICICLETAS;E;BTS;11797
31115985;DISPOSITIVOS MEDICOS Y ACCESORIOS;E;BTS;11798
3111960563;MEDICAL ACCESORIES;E;BTS;11799
31120381;R PISOS DE MADERA LAMINADA Y DE VINIL;E;BTS;11800
31120959;VINOS-CHATEU -MONDESIR -LES GRAIN;E;BTS;11801
31121268;ART�CULOS Y EQUIPOS PARA TRABAJOS EN ALTURAS DE SEGURIDAD INDUSTRIAL;E;BTS;11802
31122086390;MATERIAL TERMOPLASTICO PARA ORTOSIS;E;BTS;11803
31126463;VINOS CHATEAU-DIFFUSSION-MENERET;E;BTS;11804
31128813;PLATOS.BOLSAS.TAZAS;E;BTS;11805
31129434;MATERIAL POP;E;BTS;11806
31144919126;CILINDROS Y ANILLOS PARA MAQUINAS Y QUIMICOS BULTOS 17;E;BTS;11807
31144920267;TEXTIL;E;BTS;11808
31144920839;CHANCLAS;E;BTS;11809
31144920841;TEXTIL-MALLA;E;BTS;11810
31144920993;PIEZA PARA MOTOSIERRA Y CEPILLO - REPRESENTACIONES OSORIO POSADA - 10286;E;BTS;11811
31144921079;WEG COLOMBIA SAS MOTOR ELECTRICO;E;BTS;11812
31144921170;TEJIDO EN PUNTO EQUINOX - SHER S.A.;E;BTS;11813
31144921178;TEXTILES;E;BTS;11814
31144921221;TEXTILES;E;BTS;11815
31144921336;HILOS Y CUERDAS CAUCHO TEXTILES;E;BTS;11816
31144921343;ROLLOS DE TELA;E;BTS;11817
31144921391;31144921391 NAICOP INGENIERIA SAS COUPLI;E;BTS;11818
31144921447;MASCARILLA SPA - JEUNESSE;E;BTS;11819
31144921507;REPUESTOS PARA MAQUINA LLENADORA;E;BTS;11820
31144921662;CABLESLAN 4P GIGABIT - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11821
31144921664;CABLES DE FIBRA OPTICA - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11822
31144921686;HIDROQUINANO;E;BTS;11823
31144921705;ROLLOS DE TELA;E;BTS;11824
31144921721;KIT ENGRANAJES SIN MOTOR AGR //VITA OS/ASADOR VITTA PREMIUN 5 ESPADAS GLP/KIT PU;E;BTS;11825
31144921753;TELAS-MERCADEO Y MODA;E;BTS;11826
31144921796;TELAS;E;BTS;11827
31144921800;CABLE ELECTRICO DE ALUMINIO - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11828
31144921831;ROLLOS DE TELA;E;BTS;11829
31144921941;ROLLOS DE TELA;E;BTS;11830
31144921948;TEXTILES;E;BTS;11831
31144921968;TELAS;E;BTS;11832
31144921974;CABLE ELECTRICO DE COBRE - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11833
31144922018;COLAGENO HIDROLISADO - JEUNESSE;E;BTS;11834
31144922097;ANDINA DE TECNOLOGIAS SAS - UNIDADES CONTROL DE TEMPERATURA;E;BTS;11835
31144922123;CABLE ELECTRICO DE COBRE AISLADO - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11836
31144922154;TEXTILES;E;BTS;11837
31144922228;CABLE ELECTRICO DE ALUMINIO - PRODUCTORA DE CABLES PROCABLES S.A.;E;BTS;11838
31144922242;TELAS - FABRICS;E;BTS;11839
31144922245;ROLLOS DE TELA;E;BTS;11840
31144922247;TELAS- MERCADEO Y MODA SAS;E;BTS;11841
31144922250;TELAS - MERCADEO Y MODA SAS;E;BTS;11842
31144922306;ROLLOS DE TELA;E;BTS;11843
31144922325;ELECTROBOMBAS PARA AGUA;E;BTS;11844
31144922328;TELAS;E;BTS;11845
31144922355;BOQUILLA PARA MODELO DE BLOQUES DE ARCILLA;E;BTS;11846
31144922371;TARJETAS ELECTRONICAS Y SOLENOIDES;E;BTS;11847
31144922436;ANDINA DE TECNOLOGIAS SAS - UNIDAD CONTROLADORA DE TEMPERATURA;E;BTS;11848
31168;CAJA CONECTORA SIN CABLE 3PT;NE;U;11849
311NVT31617;JUGO DE UVA. VINO ESPUMANTE. COPAS PLASTICAS. CAJAS DE MADERA;E;BTS;11850
311PNG31148NZDO;311PNG31148NZDO DASH MUEBLE;LD;BTS;11851
311PNG32930;PARTES PARA MAQUINAS;E;BTS;11852
311RIG29920;CALZADO PARA DAMA;E;BTS;11853
311RIO32803;ROLLOS DE TELA-JOHN URIBE;E;BTS;11854
31-2;CAJA;ZF;U;11855
31220;CAJA CONECTORA 01 PT;NE;U;11856
31221;CAJA CONECTORA 02 PT;NE;U;11857
3122965915;REPUESTOS PARA DATAFONOS;E;BTS;11858
3123101774;EQUIPOS ELECTRONICOS SATELITALES;E;BTS;11859
3123-BROCHE;BROCHE PIP-PINS PN A407 INV. 116042388;E;U;11860
3123-BUSHING;BUSHING PN 210-053-02 INV. 116042388;E;U;11861
3123-BUSHING1;BUSHING PN 210-022-03 INV. 116042388;E;U;11862
3123-BUSHING10;BUSHING PN C65256 INV. 116042388;E;U;11863
3123-BUSHING11;BUSHING PN C65989 INV. 116042388;E;U;11864
3123-BUSHING12;BUSHING PN C66744 INV. 116042388;E;U;11865
3123-BUSHING13;BUSHING PN C65288 INV. 166042388;E;U;11866
3123-BUSHING14;BUSHING PN C65738 INV. 166042388;E;U;11867
3123-BUSHING15;BUSHING PN C66743 INV. 166042388;E;U;11868
3123-BUSHING16;BUSHING PN C65286 INV. 166042388;E;U;11869
3123-BUSHING17;BUSHING PN C65263 INV. 116042388;E;U;11870
3123-BUSHING18;BUSHING PN C65206 INV. 116042388;E;U;11871
3123-BUSHING19;BUSHING PN C65214 INV. 116042388;E;U;11872
3123-BUSHING2;BUSHING PN C66770 INV. 116042388;E;U;11873
3123-BUSHING20;BUSHING PN C65737 INV. 116042388;E;U;11874
3123-BUSHING21;BUSHING PN C65209 INV. 116042388;E;U;11875
3123-BUSHING22;BUSHING PN C65243 INV. 116042388;E;U;11876
3123-BUSHING23;BUSHING PN C65244 INV. 116042388;E;U;11877
3123-BUSHING24;BUSHING PN C66743 INV. 116042388;E;U;11878
3123-BUSHING25;BUSHING PN C65256 INV. 116042388;E;U;11879
3123-BUSHING26;BUSHING PN C65989 INV. 116042388;E;U;11880
3123-BUSHING27;BUSHING PN C66744 INV. 116042388;E;U;11881
3123-BUSHING28;BUSHING PN C65288 INV. 166042388;E;U;11882
3123-BUSHING29;BUSHING PN C65738 INV. 166042388;E;U;11883
3123-BUSHING3;BUSHING PN C65263 INV. 116042388;E;U;11884
3123-BUSHING30;BUSHING PN C66743 INV. 166042388;E;U;11885
3123-BUSHING31;BUSHING PN C65286 INV. 166042388;E;U;11886
3123-BUSHING4;BUSHING PN C65206 INV. 116042388;E;U;11887
3123-BUSHING5;BUSHING PN C65214 INV. 116042388;E;U;11888
3123-BUSHING6;BUSHING PN C65737 INV. 116042388;E;U;11889
3123-BUSHING7;BUSHING PN C65209 INV. 116042388;E;U;11890
3123-BUSHING8;BUSHING PN C65243 INV. 116042388;E;U;11891
3123-BUSHING9;BUSHING PN C65244 INV. 116042388;E;U;11892
3123-CLAMP;CLAMP PN FLEXINOXMH4 INV. 166042388;E;U;11893
3123-CLAMP1;CLAMP PN FLEXINOXMH6 INV. 166042388;E;U;11894
3123-ECROU;ECROU PN L22541-30N INV. 116042388;E;U;11895
3123-ELECTRICALHARNESS;ELECTRICAL HARNESS PN C23213 INV. 116042388;E;U;11896
3123-ELECTRICALHARNESS1;ELECTRICAL HARNESS PN C23214 INV. 116042388;E;U;11897
3123-FITTEDFLEXIBLE;FITTED FLEXIBLE TUBING PN OR 211-020 INV. 166042388;E;U;11898
3123-FITTEDFLEXIBLE1;FITTED FLEXIBLE TUBING PN OR 211-010 INV. 166042388;E;U;11899
3123-FITTEDFLEXIBLE2;FITTED FLEXIBLE TUBING PN OR 211-040 INV. 166042388;E;U;11900
3123-FITTEDFLEXIBLE3;FITTED FLEXIBLE TUBING PN OR 211-030 INV. 166042388;E;U;11901
3123-FITTEDFLEXIBLE4;FITTED FLEXIBLE TUBING PN OR 211-020 INV. 166042388;E;U;11902
3123-FITTEDFLEXIBLE5;FITTED FLEXIBLE TUBING PN OR 211-010 INV. 166042388;E;U;11903
3123-FITTEDFLEXIBLE6;FITTED FLEXIBLE TUBING PN OR 211-040 INV. 166042388;E;U;11904
3123-FITTEDFLEXIBLE7;FITTED FLEXIBLE TUBING PN OR 211-030 INV. 166042388;E;U;11905
3123-FITTEDPLUG;FITTED PLUG PN GA-56437 INV. 166042388;E;U;11906
3123-FITTEDPLUG2;FITTED PLUG PN GA-56437 INV. 166042388;E;U;11907
3123-GOUPILLE;GOUPILLE ELASTIQUE PN E2-5X25EM INV. 116042388;E;U;11908
3123-LOCKWASHER;LOCK WASHER PN L23351-60ACL INV. 116042388;E;U;11909
3123-LOCKWASHER2;LOCK WASHER PN L23351-60ACL INV. 116042388;E;U;11910
3123-NUT;NUT PN L22541-60N INV. 116042388;E;U;11911
3123-NUT1;NUT PN 6PH-135M INV. 116042388;E;U;11912
3123-ROLLER;ROLLER PN C57239 INV. 166042388;E;U;11913
3123-RONDELLE;RONDELLE PN C67543 INV. 116042388;E;U;11914
3123-SAPACER;SPACER PN C65278 INV. 166042388;E;U;11915
3123-SCREW;SCREW PN C67153 INV. 116042388;E;U;11916
3123-SCREW2;SCREW PN C69708 INV. 166042388;E;U;11917
3123-SPACER;SPACER PN C65278 INV. 166042388;E;U;11918
3123-TUBEASSY;TUBE ASSY PN GA-56989 INV. 166042388;E;U;11919
3123-WASHER;WASHER PN L23111-60BCL INV. 116042388;E;U;11920
3123-WASHER2;WASHER PN C65279 INV. 166042388;E;U;11921
3123-WASHER3;WASHER PN C65279 INV. 166042388;E;U;11922
3125350196;EQUIPOS PETROLEROS - WEATHERFORD COLOMBIA LIMITED;E;BTS;11923
3127416541;3127416541-EQUIPO OFTANMOLOGICO- A Y P;E;BTS;11924
31296;TERMINAL COBRE OJO 1/4 COBRE;NE;U;11925
31297;TERMINAL COBRE OJO 3/16 COBRE;NE;U;11926
31299;CORAZA ESPECIAL 1/4;NE;M;11927
312NZDO;EQUIPOS DE TELECOMUNICACION PARTES Y ACCESORIOS;LD;BTS;11928
31301;CAJA CONECTORA BLANCA SIN CABLE 4PT;NE;U;11929
3132;QUESO MANCHEGO CU�A;NE;GRM;11930
3136W7TQZCH;OILTESTER;E;BTS;11931
3136W7VKVC7;COFFE ROASTING MACHINE PARTS;E;BTS;11932
3136W7VQTGM;INSERTOS HEXAGONALES;E;BTS;11933
31383;CORAZA ESPECIAL;NE;M;11934
314;BURIL 1/2 TUNGSTENO;NE;U;11935
314067TPJY3;SURGICAL ORTHOPEDIC IMPLANTS;E;BTS;11936
314067TTLDY;SURGICAL ORTHOPEDIC;E;BTS;11937
314067V7LGR;SURGICAL IMPLANTS;E;BTS;11938
314067VJV3P;SURGICAL IMPLANTS;E;BTS;11939
314185.10-8;GUIDE BUSH 12.5 X 12.5 X 34.6 LG MT-0142;E;U;11940
314185.10-N;GUIDE BUSH 12.5 X 12.5 X 34.6 LG MT-0142;LD;U;11941
314186.1;AXLE DIA 4.9 X 81LG;E;U;11942
314464.10-N;CLIP KNIFE FOK 4.4.4;LD;U;11943
314490.10-N;THRUST PIECE DIA 7.8 X 7;LD;U;11944
3147525286;DENTAL SCANNER - TRES CADCAM DIGITAL SOLUTION COLOMBIA SAS;E;BTS;11945
3147562902;TRIOS 3BASIC POD PEN SPECIAL CONFIGURATION -TRES CADCAM DIGITAL SOLUTIONS COLOMB;E;BTS;11946
3147973054;3147973054 APPLEDENT COLOMBIA CAP FOR EXTERNAL LOW SPEED KITS NEW LEDHIGH DENSIT;E;BTS;11947
315-0601449;(DNB)RACK-19 INCH EAGLE-TELEFONICA 1-CLIENTE INTERNO;LD;U;11948
315-0610160;CABLE ASSY 1000BASE-T CAT5E-TELEFONICA 1-CLIENTE INTERNO;LD;U;11949
315-0610196;LABEL-WARNING LEAKAGE/CORDS-TELEFONICA 1-CLIENTE INTERNO;LD;U;11950
315-0610383;LABEL-OUTLET RATING-TELEFONICA 1-CLIENTE INTERNO;LD;U;11951
315-0610793;315-0610793-TELEFONICA 1-CLIENTE INTERNO;LD;U;11952
315-0610794;315-0610794-TELEFONICA 1-CLIENTE INTERNO;LD;U;11953
315-0610811;PDU STRIP 3 INPUT 21 OUTLET-TELEFONICA 1-CLIENTE INTERNO;LD;U;11954
315-0610882;315-0610882-TELEFONICA 1-CLIENTE INTERNO;LD;U;11955
315-0610883;315-0610883-TELEFONICA 1-CLIENTE INTERNO;LD;U;11956
315-0611052;315-0611052-TELEFONICA 1-CLIENTE INTERNO;LD;U;11957
315-0611053;315-0611053-TELEFONICA 1-CLIENTE INTERNO;LD;U;11958
315-0611054;315-0611054-TELEFONICA 1-CLIENTE INTERNO;LD;U;11959
315-0611055;315-0611055-TELEFONICA 1-CLIENTE INTERNO;LD;U;11960
315-0611061;SPIRAL WRAP 8 IN LONG-TELEFONICA 1-CLIENTE INTERNO;LD;U;11961
315-0611122;ASSY-RACK 42U NEW POWER-TELEFONICA 1-CLIENTE INTERNO;LD;U;11962
315110;TUBO ALUMINIO;E;U;11963
315110N;TUBO ALUMINIO;LD;U;11964
315903;SOPORTE;NE;U;11965
315930;EMPAQUE TANQUE;NE;U;11966
315940;EMPAQUE TANQUE;NE;U;11967
316001;RADIADOR OPTRA MT;ZF;U;11968
3163618264;KIT ENDORET DERMATOLOGIA TRAUMATOLOGIA - PIEMCA SAS;E;BTS;11969
3166274716;LCD;E;BTS;11970
317-21-03663-091975;CERVEZA;E;BTS;11971
317-22-00599-091975;CERVEZA EN BOTELLA Y VASOS DE VIDRIO;E;BTS;11972
3173;COLORANTE VERDE;NE;GRM;11973
3173649614;MUESTRAS TEXTILES;E;BTS;11974
317424LD34M;MARKETING MATERIAL;E;BTS;11975
3174526493;TELECOM EQUIPMENT;E;BTS;11976
3176483391;DIGITAL IMAGIN SYSTEM;E;BTS;11977
3176540920;CHARMING ONE PIECES SWIM DRESS;E;BTS;11978
3176543731;3176543731 MUESTRAS SAMSUNG;E;BTS;11979
3176757673;SUTURE MATERIAL;E;BTS;11980
3176819262;CARGADOR - TELESOURCE;E;BTS;11981
3176-CORROSION-HK5041;CORROSION ANHIBITING COMPOUND-JZRZBF P/N ARDROX AV15;E;U;11982
3176-FLAMERETAR-HK5041;FLAME RETARDANT DOUBLE-JZRZBF P/N POLYKEN 108FR;E;U;11983
3176-HI-TAKTAPE-HK5041;HI-TAK TAPE-JZ5VRP P/N HT3935-7-200;E;U;11984
317E0YT7WM9;PLASTIC FILMS;E;BTS;11985
3188434126;PRODUCTOS DENTALES;E;BTS;11986
3189992886;FABRICS-CI TEXTIL SAS;E;BTS;11987
3191424736;FABRIC BOOK - CONSORCIO NTERNACIONAL TEXTIL;E;BTS;11988
319513SWJR3;MOTOR 2338S012S VAR;E;BTS;11989
3197;EQUIPOS DE COMPUTO;LD;BTS;11990
3197358894;BUFANDAS - JONH URIBE E HIJOS;E;BTS;11991
3198272140;B2X PARTES DE EQUIPOS M�VILES;E;U;11992
3199;PEPPER JACK BLOQUE;NE;GRM;11993
31A-TS2CRN;TAPA;ZF;U;11994
31BA-TS2CR;TAPA;ZF;U;11995
31BA-TS2CRN;TAPA;ZF;U;11996
31R5659BRKG;DECO FOUNTAIN;E;BTS;11997
31-TS2FR;TAPA;ZF;U;11998
31X53VSXFGC;NILOS SEALS LSTO;E;BTS;11999
31X64Y4XVKX;SPARE PARTS FOR TRANSMISSION EQIPMENT;E;BTS;12000
32;FIBRA DE CARBONO 200GR/MT;NE;KGM;12001
32;PREMEZCLA PANCAKE;LD;GRM;12002
3200;MEMORIAS;LD;BTS;12003
3200644963;3200644963 PAPELES Y CORRUGADOS CUCHILLA QUIRURGICA;E;BTS;12004
32013787;PISOS DE MADERA;E;BTS;12005
32016015;TINTAS NEGRA Y DE COLOR PARA SERIGRAFIA PLANA;E;BTS;12006
32017902;PISOS DE MADERA. ROLLOS Y MUESTRAS DE PISO;E;BTS;12007
32019481;PAPEL OBLEA - PANACOTTA;E;BTS;12008
32020522NZDO;MARTILLOS -BUHLER;LD;BTS;12009
32021532;32021532 TECNOLOGIAS MEDICAS COLOMBIA SUMINISTROS MEDICOS CATETERES;E;BTS;12010
3202575946;STEEL COUPLING FOR CASING AND TUBING PIPES;E;BTS;12011
32026269;ACCESORIOS PERSONALES: GAFAS.GAFAS DE SOL.;E;BTS;12012
32027458;PISO DE MADERA LAMINADO Y PISO DE VINILO. ROLLOS BAJO PISO;E;BTS;12013
32029042;ALFOMBRA ELECTRICA AISLANTE - SSP;E;BTS;12014
32034324;MATERIAL POP;E;BTS;12015
32035374;DICE CONTENER ARTICULOS DECORATIVOS PARA EL HOGAR;E;BTS;12016
32056422;CAMERON COLOMBIA - VALVULAS DE COMPUERTA;E;BTS;12017
3206.19.00N;LOS DEMAS PIGMENTOS Y PREPARACIONES A BASE DE DIOXIDO DE TITANIO;NE;KGM;12018
3206.49.10;DISPERSIONES CONCENTRADAS DE LOS DEMAS PIGMENTOS;E;KGM;12019
3206.49.99N;LAS DEMAS DE LAS DEMAS MATERIAS COLORANTES;LD;KGM;12020
3207016002;RELLENO DERMICO;E;BTS;12021
3208209653;CINTA DE BORDE TEJIDO;E;BTS;12022
3209499344;MATERIAL ODONTOLOGICO PHIBO COLOMBIA;E;BTS;12023
320956MYXZK;SEAL KIT AND BOX;E;BTS;12024
3211-ALLOYSTEEL-LABING;ALLOY STEEL 4130 ROUND BAR DIAM-INV 2000 P/N 4130 RND 4.500 LOT. W3074;E;U;12025
3211-ALLOYSTEELNZDO;ALLOY STEEL 4130 ROUND BAR DIAM-INV 2000 P/N 4130 RND 4.500 LOT. W3074;LD;U;12026
3213351153NZDO;DISPOSITIVOS MEDICOS;LD;BTS;12027
3215.19.00;LAS DEMAS TINTAS DE IMPRESION;E;KGM;12028
3215740570NZDO;3215740570NZDO-EQUIPOS ELECTRICOS-TYCO SERVICES S.A;LD;BTS;12029
3215970844;RESPUESTOS PARA MAQUINARIA;E;BTS;12030
3217580004;BOLIGRAFO FINGER PEN;E;BTS;12031
3218;EQUIPO CON ACCESORIOS 1 CAJA;E;BTS;12032
3218169172;TELAS - CONSORCIO INTERNACIONAL TEXTIL;E;BTS;12033
321840THCZS;SPARE PARTS FOR VACUUM PACKAGING MACHINES;E;BTS;12034
3218823285;DISPOSITIVOS MEDICOS;E;BTS;12035
3218883673NZDO;3218883673NZDO - ACCESORIOS DE TELECOMUNICACIONES Y SEGURIDAD - TYCO SERVICES S.;LD;BTS;12036
3219103952;LABS INGREDIENTS - ACIDO OLEICO;E;BTS;12037
3219231551;NEUROESTIMULADORES;E;BTS;12038
3219283572;SUPLEMENTOS MEDICOS;E;BTS;12039
321N;EMOLIENTES;NE;KGM;12040
322111;CAJA MASTER LA NUESTRA 25GR POLVO PANELA;NE;U;12041
32225995;ELANCO MEDICAMENTOS VETERINARIOS;E;BTS;12042
3223915726;CABLES MERCANCIA PARCIAL;E;BTS;12043
322828TTW4M;PRODUCTS HOSE ASSEMBLY;E;BTS;12044
323;CRYOMING;NE;U;12045
3232;KLM-M CAPE CHENIN WHITE WINE J. SCHAAL;E;U;12046
3233;KLM-M CAPE SHRAZ RED WINE J. SCHAAL;E;U;12047
323325.10-8;CHAIN BOLT DM 21 X 73.6 LG;E;U;12048
3233572790NZDO;IMPLANTES;LD;BTS;12049
32409 NZDO;CAP SHIPPING 500-513 SERIES HT150;LD;U;12050
3240946914;PRENDAS GARMENTS - JOHN URIBE;E;BTS;12051
3240969491;VALVOLOPLASTY;E;BTS;12052
32424 EXT;CAP SHIPPING PUMP 400SER CS;E;U;12053
32440 EXT;HEAD. PUMP. 400SER. C.S.;E;U;12054
32442 EXT;BASE. 0.625IN Y 0.688IN DIA SFT. PUMP 400SER. CS1045;E;U;12055
3244734146;MEDICAL SUPPLIES;E;BTS;12056
325;FRAGANCIA;E;KGM;12057
32551000664;SERVICE TAG 9VJDRC1;LD;U;12058
32598 EXT;DIFFUSER AR PUMP SERIES 538 TYPE WE 1500;E;U;12059
32599 EXT;DIFFUSER LOWER. PUMP 538SER. WE1500 NI-RE TYPE1;E;U;12060
325N;FRAGANCIA;NE;KGM;12061
3260093650;RECIPIENTES PARA COCINA;E;BTS;12062
3260097544;TORNILLO DRAGON;E;PCE;12063
32611 EXT;IMPELLER PUMP 538SER WE5500 STD COM NI-R TYPE I;E;U;12064
32612 EXT;DIFFUSER STD PUMP WE5500 538SER NI-R TYPE I;E;U;12065
32614 EXT;DIFFUSER LOWER PUMP WE5500 538SER NI-R TYPE I;E;U;12066
32625 EXT;IMPELLER. PUMP. 513SER. WG4000. STD FLT. NI-R TYPE1;E;U;12067
3264;GUANTE DE NITRILO BIOFIT AZUL CAJA X 100 UND (TALLA S. M. L) PLEGADIZA X100 CLAY;NE;U;12068
3269117972;3269117972-PARTES Y ACCESORIOS USO PETROLERO-HV SERVICES S.A.S;E;BTS;12069
327;ACTIVO;E;KGM;12070
327000;RADIADOR DMAX;ZF;U;12071
327001;RADIADOR DMAX 3.0/3.5;ZF;U;12072
32708 EXT;NUT.HEX 5-16 18UNC-2B STL;E;U;12073
327110;TUBO ALUMINIO;E;U;12074
327110N;TUBO ALUMINIO;LD;U;12075
327280;DEFLECTOR;NE;U;12076
327420;SOPORTE;NE;U;12077
3276-SKYLEEN-REGIONAL;SKYLEEN 1000-INV K0MK75 P/N SKYLEEN 1000 LOT AJ07411;E;U;12078
32770 EXT;IMPELLER PUMP WD6000 FLT;E;U;12079
32772 EXT;LOWER DIFUSER PUMP WD6000;E;U;12080
3278312063;3278312063 ORTOCLASS TOP ORTHODONTIC SUPPLIES SA DENTAL BRACKETS;E;BTS;12081
327900;EMPAQUE TANQUE;NE;U;12082
327N;ACTIVO;NE;KGM;12083
328000;RADIADOR I-190 DIESEL;ZF;U;12084
328254VHWVC;SWATCH GIFT BOXES XMAS;E;BTS;12085
32829 EXT;CPLG 500S 7/8X1.19PMP-INT MN FL;E;U;12086
3282980341;MATERIAL DE INJERTO OSEO;E;BTS;12087
3283049265;3283049265-MUESTRAS DE CELULARES-ZTE CORPORATION SUCURSAL COLOMBIA;E;BTS;12088
3283051936;3283051936-MUESTRAS DE CELUALRES-ZTE CORPORATION SUCURSAL COLOMBIA;E;BTS;12089
32845 EXT;CPLG 400S 7-8 P-PYP-I CMP MNL;E;U;12090
32846 EXT;CPLG. 540S 1  PMP-PMP COMP K500 MNL;E;U;12091
3287854496;PURASORB POLYMER;E;BTS;12092
328W3ANGLDK;PARAGLIDER;E;BTS;12093
328W3ANXBMS;PARAGLIDER;E;BTS;12094
328Y0YV9Z34;AGUJAS QUIRURGICAS-ASSUT;E;BTS;12095
328Y0YVCHYZ;AGUJAS QUIR�RGICAS SIN OJOS;E;BTS;12096
328Y0YVLRMT;AGUJAS QUIR�RGICAS SIN OJOS-ASSUT;E;BTS;12097
3290148433;MATERIAL DE SUTURA-ASSUT;E;BTS;12098
3293;ACEITE DE AJONJOLI;NE;GRM;12099
3294;ACCESORIOS;LD;BTS;12100
3294;PYM FILETE DE TRUCHA;NE;GRM;12101
3298204442;ORALSCANNER WITH ITS ACCESSARIES;E;BTS;12102
3299005172NZDO;32990005172NZDO-LIQUID FLOW SWITHC-JOHNSON CONTROLS;LD;BTS;12103
3299266180;REPUESTOS PARA TERMINAL;E;BTS;12104
3299438435;3299438435 - ROPA DE HONORES DE LA FCCC - HLF COLOMBIA LTDA (HERBALIFE);E;BTS;12105
3299441165;REPUESTOS DE TERMINAL;E;BTS;12106
329W88TSGNK;SERVOMOTOR 1FK7260-2AF71;E;BTS;12107
32K8VT333X8;SOLAR SYMPHONY BOX;E;BTS;12108
32NAL;MONITORES 22 MARCA SAMSUNG -BT LATAM;LD;BTS;12109
33;SAL REFINADA;NE;GRM;12110
330153385;TCUS;E;BTS;12111
3302915626NZDO;3302915626NZDO - ACCESORIOS DE TELECOMUNICACIONES Y SEGURIDAD - JOHNSON CONTROLS;LD;BTS;12112
3303018530;MUESTRAS CALZADO;E;BTS;12113
3303100776;EQUIPOS DE TRANSMISI�N DE DATOS;E;BTS;12114
3303175735;MUESTRAS CALZADO;E;BTS;12115
3303197660;PREMIUM RUBBER TRACK TO FIT;E;BTS;12116
330347;TERMINAL DE ESTA�O PONCHAR 2/0;NE;U;12117
330350;TERMINAL ESTA�O PONCHAR 2/0;NE;U;12118
3305099361;TCT-TELEFONOS;E;U;12119
3305-ALODINE;ALODINE 1201 LT PB10249962 FACTURA 73305;NE;GLL;12120
